,task_session,corr
0,cuedTS_ses-02_ses-04,0.5755426841676686
1,cuedTS_ses-02_ses-06,0.5556240962113587
2,cuedTS_ses-02_ses-08,0.5601495207870326
3,cuedTS_ses-02_ses-10,0.5180251897986172
4,cuedTS_ses-04_ses-06,0.5383831457602151
5,cuedTS_ses-04_ses-08,0.6405809726320518
6,cuedTS_ses-04_ses-10,0.5310711785906495
7,cuedTS_ses-06_ses-08,0.5256804418738871
8,cuedTS_ses-06_ses-10,0.4869839225595142
9,cuedTS_ses-08_ses-10,0.5689728245921326
10,DF_ses-02_ses-04,0.49872441701167886
11,DF_ses-02_ses-06,0.11847098762508046
12,DF_ses-02_ses-08,0.3362457014649193
13,DF_ses-02_ses-10,0.5691205198275217
14,DF_ses-02_ses-02,1.0
15,DF_ses-04_ses-06,0.06114867666177294
16,DF_ses-04_ses-08,0.37121747472067107
17,DF_ses-04_ses-10,0.3967984347282846
18,DF_ses-04_ses-02,0.4987244170116789
19,DF_ses-04_ses-04,1.0
20,DF_ses-06_ses-08,0.002534508743347316
21,DF_ses-06_ses-10,0.025689397471049282
22,DF_ses-06_ses-02,0.11847098762508046
23,DF_ses-06_ses-04,0.06114867666177294
24,DF_ses-06_ses-06,1.0
25,DF_ses-08_ses-10,0.2702266148491301
26,DF_ses-08_ses-02,0.3362457014649192
27,DF_ses-08_ses-04,0.37121747472067107
28,DF_ses-08_ses-06,0.002534508743347316
29,DF_ses-08_ses-08,0.9999999999999999
30,DF_ses-10_ses-02,0.5691205198275215
31,DF_ses-10_ses-04,0.3967984347282846
32,DF_ses-10_ses-06,0.025689397471049282
33,DF_ses-10_ses-08,0.27022661484913
34,DF_ses-10_ses-10,0.9999999999999999
35,flanker_ses-02_ses-04,0.6567849624642699
36,flanker_ses-02_ses-06,0.5421759975311782
37,flanker_ses-02_ses-08,0.5320880340852244
38,flanker_ses-02_ses-10,0.48887796509420706
39,flanker_ses-04_ses-06,0.40992499107247954
40,flanker_ses-04_ses-08,0.3937099533252666
41,flanker_ses-04_ses-10,0.4941941967218407
42,flanker_ses-06_ses-08,0.4644735051380197
43,flanker_ses-06_ses-10,0.3850833321564833
44,flanker_ses-08_ses-10,0.47464480742269166
45,nBack_ses-02_ses-03,0.5953567277398574
46,nBack_ses-02_ses-05,0.739593006587408
47,nBack_ses-02_ses-07,0.4096788819914975
48,nBack_ses-02_ses-09,0.4186115056288191
49,nBack_ses-03_ses-05,0.6385265304997124
50,nBack_ses-03_ses-07,0.5978463678241913
51,nBack_ses-03_ses-09,0.6174459434524956
52,nBack_ses-05_ses-07,0.705411243149137
53,nBack_ses-05_ses-09,0.6880520665962255
54,nBack_ses-07_ses-09,0.7124010676533601
55,spatialTS_ses-01_ses-03,0.3902987720247606
56,spatialTS_ses-01_ses-05,0.6017421976382987
57,spatialTS_ses-01_ses-07,0.5384048793732156
58,spatialTS_ses-01_ses-09,0.597233271518307
