,task_session,corr
124,spatialTS_ses-04_ses-08,0.6744544705992618
125,spatialTS_ses-04_ses-10,0.6110964131298225
126,spatialTS_ses-06_ses-08,0.49926983869640157
127,spatialTS_ses-06_ses-10,0.4802969644338111
128,spatialTS_ses-08_ses-10,0.6519337838789995
129,shapeMatching_ses-02_ses-04,0.6575776936570431
130,shapeMatching_ses-02_ses-06,0.6729793608748327
131,shapeMatching_ses-02_ses-08,0.517746271417148
132,shapeMatching_ses-02_ses-10,0.5871552928445137
133,shapeMatching_ses-04_ses-06,0.7470384977024929
134,shapeMatching_ses-04_ses-08,0.6407747189129039
135,shapeMatching_ses-04_ses-10,0.6545133093399842
136,shapeMatching_ses-06_ses-08,0.5892437306949448
137,shapeMatching_ses-06_ses-10,0.6760430471497785
138,shapeMatching_ses-08_ses-10,0.5803282358244563
